season,weekday,company,median_daily_energy_kwh,mad_daily_energy_kwh,relative_mad
winter,5,LG 8,5829.000,2207.000,0.379
winter,6,LG 8,2274.000,1411.000,0.620
summer,0,LG 9,9485.250,626.000,0.066
summer,1,LG 9,10181.000,634.500,0.062
summer,2,LG 9,10137.250,471.000,0.046
summer,3,LG 9,9918.750,732.250,0.074
summer,4,LG 9,9258.000,561.000,0.061
summer,5,LG 9,1863.500,241.750,0.130
summer,6,LG 9,1706.500,145.500,0.085
winter,0,LG 9,10201.500,787.500,0.077
winter,1,LG 9,10927.250,812.500,0.074
winter,2,LG 9,10737.000,823.250,0.077
winter,3,LG 9,10868.500,897.500,0.083
winter,4,LG 9,10097.000,758.250,0.075
winter,5,LG 9,1958.000,544.500,0.278
winter,6,LG 9,1746.000,239.000,0.137
