timestamp_utc,poa_global,poa_direct,poa_diffuse,poa_sky_diffuse,poa_ground_diffuse
2024-03-26 10:30:00+00:00,788.2551123699695,527.2801202666164,260.97499210335303,257.2057809024723,3.769211200880723
2024-03-26 10:45:00+00:00,762.6519752701952,479.6127339655875,283.03924130460763,279.36049117254805,3.678750132059586
2024-03-26 11:00:00+00:00,814.8155492049609,561.171949651442,253.6435995535189,249.77186580797422,3.871733745544679
2024-03-26 11:15:00+00:00,784.3027828396038,501.7452412802019,282.55754155940184,278.78833035852114,3.769211200880723
2024-03-26 11:30:00+00:00,706.7958646845188,377.6040485895,329.1918160950188,325.7000188385229,3.4917972564959023
2024-03-26 11:45:00+00:00,694.63746797971,350.4148041849615,344.2226637947484,340.76102022785955,3.4616435668888568
2024-03-26 12:00:00+00:00,888.0917097915312,716.2072259684437,171.8844838230875,167.71724391939375,4.167239903693728
2024-03-26 12:15:00+00:00,887.7137268824622,735.3800079914653,152.33371889099698,148.17250972522467,4.161209165772318
2024-03-26 12:30:00+00:00,873.3395657805131,726.0370190417098,147.30254673880336,143.20767569016652,4.0948710486368185
2024-03-26 12:45:00+00:00,852.2629439225008,707.578295355408,144.68464856709275,140.68626932519848,3.998379241894271
2024-03-26 13:00:00+00:00,828.029267848968,680.0168546417719,148.01241320719595,144.12258724788705,3.889825959308906
2024-03-26 13:15:00+00:00,801.8723194466129,661.4219913887232,140.45032805788975,136.68111685700902,3.769211200880723
2024-03-26 13:30:00+00:00,767.5257192934778,629.8699613647375,137.6557579287403,134.0433459138162,3.6124120149240855
2024-03-26 13:45:00+00:00,712.6473558011942,551.9472820856415,160.7000737155527,157.32889121748497,3.371182498067719
2024-03-26 14:00:00+00:00,665.3354237308293,501.0790718009343,164.2563519298951,161.09624525907668,3.160106670818399
2024-03-26 14:15:00+00:00,619.4997637714145,456.6433743797524,162.85638939166202,159.90132781017152,2.955061581490487
2024-03-26 14:30:00+00:00,581.0539778215843,433.9816835395753,147.07229428200912,144.2981548381609,2.7741394438482123
2024-03-26 14:45:00+00:00,542.9803162630101,415.0731215532831,127.90719470972697,125.31397740352102,2.5932173062059376
2024-03-26 15:00:00+00:00,283.6511042575979,77.68170212515997,205.96940213243798,204.41347174871441,1.5559303837235625
2024-03-26 15:15:00+00:00,256.3322627199975,65.98595302925436,190.34630969074317,188.92908627921202,1.417223411531152
2024-03-26 15:30:00+00:00,220.2033394595859,48.007120286139845,172.19621917344605,170.95991789955718,1.2363012738888772
2024-03-26 15:45:00+00:00,196.47225099128192,45.22367851210101,151.24857247918092,150.14494743956305,1.1036250396178757
2024-03-26 16:00:00+00:00,149.99082287683387,19.95063898748647,130.0401838893474,129.16572689074306,0.8744569986043278
2024-03-26 16:15:00+00:00,124.76707085815667,17.281110211244634,107.48596064691203,106.75624135842152,0.7297192884905082
2024-03-26 16:30:00+00:00,83.48747437681854,6.082988199325707,77.40448617749283,76.89790419209446,0.5065819853983692
2024-03-26 16:45:00+00:00,68.92464182692652,3.5689214089021633,65.35572041802436,64.93356876352573,0.422151654498641
2024-03-26 17:00:00+00:00,50.79732647828379,2.288072990159464,48.50925348812433,48.19565511621105,0.31359837191327616
2024-03-26 17:15:00+00:00,28.67515171160603,1.0499055922463254,27.625246119359705,27.44432398171743,0.18092213764227472
2024-03-26 17:30:00+00:00,10.392886840937702,0.0,10.392886840937702,10.326548723802201,0.06633811713550074
2024-03-26 17:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-26 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-26 18:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-26 18:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-26 18:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-26 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-26 19:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-26 19:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-26 19:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-26 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-26 20:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-26 20:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-26 20:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-26 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-26 21:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-26 21:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-26 21:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-26 22:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-26 22:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-26 22:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-26 22:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-26 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-26 23:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-26 23:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-26 23:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-27 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-27 00:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-27 00:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-27 00:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-27 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-27 01:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-27 01:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-27 01:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-27 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-27 02:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-27 02:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-27 02:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-27 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-27 03:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-27 03:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-27 03:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-27 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-27 04:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2024-03-27 04:30:00+00:00,0.0,0.0,0.0,0.0,0.0
