start_utc,end_utc,start_berlin,end_berlin,price_eur_per_mwh,market,bidding_zone,source
2024-01-01 11:00:00+00:00,2024-01-01 12:00:00+00:00,2024-01-01 12:00:00+01:00,2024-01-01 13:00:00+01:00,2.24,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-01 12:00:00+00:00,2024-01-01 13:00:00+00:00,2024-01-01 13:00:00+01:00,2024-01-01 14:00:00+01:00,1.96,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-01 13:00:00+00:00,2024-01-01 14:00:00+00:00,2024-01-01 14:00:00+01:00,2024-01-01 15:00:00+01:00,1.04,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-01 14:00:00+00:00,2024-01-01 15:00:00+00:00,2024-01-01 15:00:00+01:00,2024-01-01 16:00:00+01:00,3.66,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-01 15:00:00+00:00,2024-01-01 16:00:00+00:00,2024-01-01 16:00:00+01:00,2024-01-01 17:00:00+01:00,43.06,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-01 16:00:00+00:00,2024-01-01 17:00:00+00:00,2024-01-01 17:00:00+01:00,2024-01-01 18:00:00+01:00,49.93,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-01 17:00:00+00:00,2024-01-01 18:00:00+00:00,2024-01-01 18:00:00+01:00,2024-01-01 19:00:00+01:00,58.0,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-01 18:00:00+00:00,2024-01-01 19:00:00+00:00,2024-01-01 19:00:00+01:00,2024-01-01 20:00:00+01:00,54.25,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-01 19:00:00+00:00,2024-01-01 20:00:00+00:00,2024-01-01 20:00:00+01:00,2024-01-01 21:00:00+01:00,48.01,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-01 20:00:00+00:00,2024-01-01 21:00:00+00:00,2024-01-01 21:00:00+01:00,2024-01-01 22:00:00+01:00,42.95,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-01 21:00:00+00:00,2024-01-01 22:00:00+00:00,2024-01-01 22:00:00+01:00,2024-01-01 23:00:00+01:00,47.09,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-01 22:00:00+00:00,2024-01-01 23:00:00+00:00,2024-01-01 23:00:00+01:00,2024-01-02 00:00:00+01:00,35.55,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-01 23:00:00+00:00,2024-01-02 00:00:00+00:00,2024-01-02 00:00:00+01:00,2024-01-02 01:00:00+01:00,30.59,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-02 00:00:00+00:00,2024-01-02 01:00:00+00:00,2024-01-02 01:00:00+01:00,2024-01-02 02:00:00+01:00,20.07,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-02 01:00:00+00:00,2024-01-02 02:00:00+00:00,2024-01-02 02:00:00+01:00,2024-01-02 03:00:00+01:00,31.03,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-02 02:00:00+00:00,2024-01-02 03:00:00+00:00,2024-01-02 03:00:00+01:00,2024-01-02 04:00:00+01:00,18.39,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-02 03:00:00+00:00,2024-01-02 04:00:00+00:00,2024-01-02 04:00:00+01:00,2024-01-02 05:00:00+01:00,11.08,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-02 04:00:00+00:00,2024-01-02 05:00:00+00:00,2024-01-02 05:00:00+01:00,2024-01-02 06:00:00+01:00,13.78,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-02 05:00:00+00:00,2024-01-02 06:00:00+00:00,2024-01-02 06:00:00+01:00,2024-01-02 07:00:00+01:00,47.63,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-02 06:00:00+00:00,2024-01-02 07:00:00+00:00,2024-01-02 07:00:00+01:00,2024-01-02 08:00:00+01:00,58.1,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-02 07:00:00+00:00,2024-01-02 08:00:00+00:00,2024-01-02 08:00:00+01:00,2024-01-02 09:00:00+01:00,65.67,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-02 08:00:00+00:00,2024-01-02 09:00:00+00:00,2024-01-02 09:00:00+01:00,2024-01-02 10:00:00+01:00,64.73,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-02 09:00:00+00:00,2024-01-02 10:00:00+00:00,2024-01-02 10:00:00+01:00,2024-01-02 11:00:00+01:00,68.98,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-02 10:00:00+00:00,2024-01-02 11:00:00+00:00,2024-01-02 11:00:00+01:00,2024-01-02 12:00:00+01:00,73.54,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-02 11:00:00+00:00,2024-01-02 12:00:00+00:00,2024-01-02 12:00:00+01:00,2024-01-02 13:00:00+01:00,78.16,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-02 12:00:00+00:00,2024-01-02 13:00:00+00:00,2024-01-02 13:00:00+01:00,2024-01-02 14:00:00+01:00,78.87,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-02 13:00:00+00:00,2024-01-02 14:00:00+00:00,2024-01-02 14:00:00+01:00,2024-01-02 15:00:00+01:00,79.24,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-02 14:00:00+00:00,2024-01-02 15:00:00+00:00,2024-01-02 15:00:00+01:00,2024-01-02 16:00:00+01:00,79.96,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-02 15:00:00+00:00,2024-01-02 16:00:00+00:00,2024-01-02 16:00:00+01:00,2024-01-02 17:00:00+01:00,83.46,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-02 16:00:00+00:00,2024-01-02 17:00:00+00:00,2024-01-02 17:00:00+01:00,2024-01-02 18:00:00+01:00,80.92,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-02 17:00:00+00:00,2024-01-02 18:00:00+00:00,2024-01-02 18:00:00+01:00,2024-01-02 19:00:00+01:00,74.95,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-02 18:00:00+00:00,2024-01-02 19:00:00+00:00,2024-01-02 19:00:00+01:00,2024-01-02 20:00:00+01:00,63.18,Day-ahead auction,Germany/Luxembourg,SMARD
