station_id,station_name,latitude,longitude,height_m_amsl
01197,Ellwangen-Rindelbach Baden-Württemberg,48.9895,10.1312,463.0
01200,Elpersbüttel Schleswig-Holstein,54.0691,9.0105,3.0
01207,"Elster, Bad-Sohl Sachsen",50.2705,12.2742,558.0
01214,Elzach-Fisnacht Baden-Württemberg,48.2012,8.1088,431.0
01219,Emden-Nesserland Niedersachsen,53.3449,7.1909,5.0
01224,Emmendingen-Mundingen Baden-Württemberg,48.1378,7.8351,201.0
01239,Engen/Hegau Baden-Württemberg,47.8516,8.7673,540.0
01246,Ennigerloh-Ostenfelde Nordrhein-Westfalen,51.8418,8.0607,104.0
01255,Eppingen-Elsenz Baden-Württemberg,49.1661,8.8483,226.0
01262,München-Flughafen Bayern,48.3477,11.8134,446.0
01266,Erfde Schleswig-Holstein,54.2992,9.3162,18.0
01270,Erfurt-Weimar Thüringen,50.9827,10.9613,317.0
01279,Möhrendorf-Kleinseebach Bayern,49.6497,11.0075,268.0
01297,Eschwege Hessen,51.2041,10.0138,156.0
01300,Eslohe Nordrhein-Westfalen,51.254,8.1565,351.0
01303,Essen-Bredeney Nordrhein-Westfalen,51.4041,6.9677,150.0
01327,Weilerswist-Lommersum Nordrhein-Westfalen,50.7119,6.7905,147.0
01332,"Falkenberg,Kr.Rottal-Inn Bayern",48.4832,12.7241,471.0
01346,Feldberg/Schwarzwald Baden-Württemberg,47.8748,8.0038,1486.0
01357,Fichtelberg/Oberfranken-Hüttstadl Bayern,49.9807,11.8376,655.0
01358,Fichtelberg Sachsen,50.4283,12.9536,1213.0
01411,Birx/Rhön Thüringen,50.5309,10.0479,747.0
01420,Frankfurt/Main Hessen,50.0259,8.5213,100.0
01424,Frankfurt/Main-Westend Hessen,50.1269,8.6694,121.0
01443,Freiburg Baden-Württemberg,48.0232,7.8343,237.0
01451,Freiburg/Elbe Niedersachsen,53.8277,9.2493,2.0
01467,Freudenstadt-Kurgarten Baden-Württemberg,48.4607,8.4141,736.0
01468,Freudenstadt Baden-Württemberg,48.4538,8.409,797.0
01473,Freystadt-Michelbach Bayern,49.1869,11.308,414.0
01503,Friesoythe-Altenoythe Niedersachsen,53.0643,7.902,6.0
01526,Fulda-Horas Hessen,50.5668,9.6532,245.0
01544,Gardelegen Sachsen-Anhalt,52.5129,11.3942,47.0
01550,Garmisch-Partenkirchen Bayern,47.483,11.0621,719.0
01580,Geisenheim Hessen,49.9859,7.9548,111.0
01584,Geisingen Baden-Württemberg,47.9242,8.6474,673.0
01587,Gelbelsee Bayern,48.9481,11.4289,536.0
01590,Geldern-Walbeck Nordrhein-Westfalen,51.4942,6.2463,37.0
01602,Ohlsbach Baden-Württemberg,48.433,7.993,177.0
01605,Genthin Sachsen-Anhalt,52.3875,12.1602,35.0
01612,Gera-Leumnitz Thüringen,50.8812,12.1289,311.0
01639,Gießen/Wettenberg Hessen,50.6017,8.6439,203.0
01645,Gilserberg-Moischeid Hessen,50.9656,9.05,327.0
01684,Görlitz Sachsen,51.1621,14.9506,239.0
01691,Göttingen Niedersachsen,51.5002,9.9507,167.0
01694,Goldberg Mecklenburg-Vorpommern,53.6058,12.1034,59.0
01721,Gräfenberg-Kasberg Bayern,49.664,11.2239,506.0
01735,Grainet-Rehberg Bayern,48.7894,13.629,628.0
01736,Grambek Schleswig-Holstein,53.5731,10.6797,26.0
01757,Greifswald Mecklenburg-Vorpommern,54.0967,13.4056,2.0
01759,Greifswalder Oie Mecklenburg-Vorpommern,54.2437,13.9104,11.0
01766,Münster/Osnabrück Nordrhein-Westfalen,52.1344,7.6969,48.0
01792,Groß Berßen Niedersachsen,52.7553,7.4815,27.0
01803,Sanitz-Groß Lüsewitz Mecklenburg-Vorpommern,54.0714,12.3238,35.0
01832,Großer Arber Bayern,49.1129,13.1338,1436.0
01863,Gründau-Breitenborn Hessen,50.2667,9.1854,258.0
01869,Grünow Brandenburg,53.3154,13.9339,56.0
01886,Günzburg Bayern,48.4878,10.2608,444.0
01957,Halle-Kröllwitz Sachsen-Anhalt,51.5138,11.9499,93.0
01964,Olsdorf Rheinland-Pfalz,49.9445,6.3821,328.0
01975,Hamburg-Fuhlsbüttel Hamburg,53.6332,9.9881,11.0
01981,Hamburg-Neuwiedenthal Hamburg,53.4776,9.8957,4.0
02014,Hannover Niedersachsen,52.4644,9.6779,55.0
02023,Harburg Bayern,48.7918,10.7062,501.0
02039,"Harzburg, Bad Niedersachsen",51.9002,10.5699,203.0
02044,Harzgerode Sachsen-Anhalt,51.652,11.1366,404.0
02074,Hechingen Baden-Württemberg,48.3752,8.98,518.0
02080,Heidelberg Baden-Württemberg,49.4206,8.6676,110.0
02088,Heidenheim/Brenz Baden-Württemberg,48.6849,10.142,522.0
02110,Heinsberg-Schleiden Nordrhein-Westfalen,51.0411,6.1042,57.0
02115,Helgoland Schleswig-Holstein,54.175,7.892,4.0
02158,"Herrenalb, Bad Baden-Württemberg",48.8042,8.443,350.0
02167,Niederwörresbach Rheinland-Pfalz,49.7672,7.3356,302.0
02171,"Hersfeld, Bad Hessen",50.852,9.7377,272.0
02174,Herzberg Niedersachsen,51.6255,10.3695,236.0
02201,Hiddensee-Vitte Mecklenburg-Vorpommern,54.575,13.1044,1.0
02211,Hilgenroth Rheinland-Pfalz,50.737,7.6525,295.0
02244,Höchenschwand Baden-Württemberg,47.7327,8.1627,1008.0
02252,Bertsdorf-Hörnitz Sachsen,50.8992,14.7456,271.0
02261,Hof Bayern,50.3123,11.876,565.0
02290,Hohenpeißenberg Bayern,47.8009,11.0108,977.0
02306,Hohwacht Schleswig-Holstein,54.3194,10.6732,8.0
02319,Holzkirchen Bayern,47.8823,11.6961,685.0
02323,"Bevern, Kr. Holzminden Niedersachsen",51.8529,9.4953,110.0
02362,Hümmerich Rheinland-Pfalz,50.5651,7.4843,331.0
02423,Isny Baden-Württemberg,47.6894,10.0416,712.0
02429,Itzehoe Schleswig-Holstein,53.9897,9.5697,20.0
02444,Jena (Sternwarte) Thüringen,50.9251,11.583,155.0
02480,Kahl/Main Bayern,50.0643,8.993,108.0
02483,Kahler Asten Nordrhein-Westfalen,51.1803,8.4891,839.0
02485,Kaisersbach-Cronhütte Baden-Württemberg,48.917,9.6871,489.0
02486,Kaiserslautern Rheinland-Pfalz,49.4262,7.7557,271.0
02497,Kall-Sistig Nordrhein-Westfalen,50.5014,6.5264,505.0
02503,Kaltennordheim Thüringen,50.6266,10.1455,487.0
02522,Karlsruhe Baden-Württemberg,49.0373,8.3637,112.0
02532,Kassel Hessen,51.2963,9.4424,231.0
02542,Kaufbeuren Bayern,47.8652,10.6007,716.0
02559,Kempten Bayern,47.7233,10.3348,705.0
02564,Kiel-Holtenau Schleswig-Holstein,54.3776,10.1424,28.0
02575,Kirchberg/Jagst-Herboldshausen Baden-Württemberg,49.1804,9.98,432.0
02578,Kirchdorf/Poel Mecklenburg-Vorpommern,53.9995,11.4341,14.0
02597,"Kissingen, Bad Bayern",50.224,10.0792,282.0
02600,Kitzingen Bayern,49.7363,10.1781,193.0
02601,Kleiner Feldberg/Taunus Hessen,50.2218,8.4469,822.0
02618,Kleiner Inselsberg Thüringen,50.8458,10.4803,732.0
02627,Schipkau-Klettwitz Brandenburg,51.5554,13.8845,128.0
02629,Kleve Nordrhein-Westfalen,51.7612,6.0954,46.0
02638,Klippeneck Baden-Württemberg,48.1054,8.7548,974.0
02641,Klitzschen bei Torgau Sachsen,51.5185,12.9065,90.0
02667,Köln/Bonn Nordrhein-Westfalen,50.8645,7.1575,91.0
02680,"Königshofen, Bad Bayern",50.284,10.4456,289.0
02700,Kösching Bayern,48.8302,11.4872,416.0
02704,Köthen (Anhalt) Sachsen-Anhalt,51.7511,12.0094,76.0
02708,"Kohlgrub, Bad (Rosshof) Bayern",47.6652,11.0805,742.0
02712,Konstanz Baden-Württemberg,47.6952,9.1307,428.0
02738,Kreuth Bayern,47.6448,11.7438,776.0
02750,Kronach Bayern,50.2524,11.3209,310.0
02794,Kyritz Brandenburg,52.9362,12.4093,40.0
02812,Lahr Baden-Württemberg,48.3647,7.828,156.0
02814,Merklingen Baden-Württemberg,48.5122,9.7644,687.0
02856,Langenlipsdorf Brandenburg,51.9173,13.0878,92.0
02878,"Lauchstädt, Bad Sachsen-Anhalt",51.3909,11.8786,117.0
02907,Leck Schleswig-Holstein,54.7903,8.9514,7.0
02925,Leinefelde Thüringen,51.3932,10.3123,356.0
02928,Leipzig-Holzhausen Sachsen,51.3151,12.4462,138.0
02932,Leipzig/Halle Sachsen,51.4347,12.2396,131.0
02947,Lennestadt-Theten Nordrhein-Westfalen,51.1333,8.0348,286.0
02951,Lenzen/Elbe Brandenburg,53.1007,11.4864,20.0
02953,Lenzkirch-Ruhbühl Baden-Württemberg,47.8597,8.2308,854.0
02961,Leuchtturm Kiel Schleswig-Holstein,54.4996,10.2737,0.0
02968,Köln-Stammheim Nordrhein-Westfalen,50.9894,6.9777,43.0
02985,Lichtenhain-Mittelndorf Sachsen,50.9383,14.2094,321.0
03015,Lindenberg Brandenburg,52.2085,14.118,98.0
03023,Lingen Niedersachsen,52.5181,7.3081,22.0
03028,"Lippspringe, Bad Nordrhein-Westfalen",51.7854,8.8388,157.0
03031,Lippstadt-Bökenförde Nordrhein-Westfalen,51.6336,8.3945,92.0
