timestamp_utc,period_year,period_month,efc,cycle_fade,calendar_fade,mean_calendar_stress_factor,capacity_factor_before,capacity_factor_after,capacity_factor,cumulative_efc,calendar_days_elapsed
2024-02-01 00:00:00+00:00,2024,1,8.034,0.000,0.002,0.241,1.000,0.998,0.998,8.034,30.990
2024-02-29 00:00:00+00:00,2024,2,16.891,0.001,0.003,0.348,0.998,0.996,0.996,24.925,58.990
2024-04-01 00:00:00+00:00,2024,3,23.219,0.002,0.004,0.368,0.996,0.994,0.994,48.144,90.031
2024-05-01 00:00:00+00:00,2024,4,25.512,0.003,0.005,0.452,0.994,0.992,0.992,73.656,120.031
2024-06-01 00:00:00+00:00,2024,5,25.689,0.005,0.007,0.614,0.992,0.989,0.989,99.345,151.031
2024-07-01 00:00:00+00:00,2024,6,22.766,0.006,0.008,0.797,0.989,0.986,0.986,122.111,181.031
2024-08-01 00:00:00+00:00,2024,7,27.991,0.008,0.010,0.883,0.986,0.982,0.982,150.102,212.031
2024-09-01 00:00:00+00:00,2024,8,25.722,0.010,0.011,0.919,0.982,0.979,0.979,175.824,243.031
2024-10-01 00:00:00+00:00,2024,9,24.094,0.012,0.012,0.647,0.979,0.977,0.977,199.918,273.031
2024-11-01 00:00:00+00:00,2024,10,16.141,0.012,0.013,0.480,0.977,0.975,0.975,216.059,304.031
2024-12-01 00:00:00+00:00,2024,11,8.557,0.012,0.013,0.309,0.975,0.975,0.975,224.616,334.031
2025-01-01 00:00:00+00:00,2024,12,3.545,0.013,0.013,0.249,0.975,0.974,0.974,228.162,363.990
2025-01-01 00:15:00+00:00,2025,1,0.000,0.013,0.013,0.175,0.974,0.974,0.974,228.162,364.000
